23, 34.0, 🏠 home
vada, 12.0, 🍔 food
kirana, 1002.0, 🏠 home
23, 3.0, 🍔 food
3, 3.0, 🍔 food
32, 23.0, 💼 work
we, 2.0, 🏠 home
223, 3.0, 💼 work
23, 23.0, 💼 work
323, 32.0, 🏠 home
ff, 44.0, 🍔 food34, 43.0, 🏠 home232, 32.0, 🏠 home
23, 32.0, 🍔 food
34, 35.0, 🏠 home
12, 21.0, 🏠 home
32, 23.0, 🏠 home
vada, 12.0, 🍔 food
gtg, 34.0, 💼 work
43, 43.0, 🏠 home
3, 3.0, 🏠 home
3, 3.0, 🏠 home
2, 2.0, 💼 work
2, 2.0, 🏠 home
rrfrf, 23.0, 🏠 home
efe, 332.0, 💼 work
e23, 23.0, 💼 work
23, 2.0, 🏠 home
23, 2.0, 🏠 home
frf, 2.0, 🏠 home
343, 343.0, 💼 work
45, 45.0, 🎉 fun
45, 4.0, 💼 work
53, 4.0, 💼 work
mrfr, 43.0, 🏠 home
34, 34.0, 🎉 fun
34, 4.0, 🏠 home
miex, 34.0, 🏠 home
34, 43.0, 🏠 home
45, 3.0, 🕜 other
